Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2017,DBR14342.CL1.DART1,397,3DD.003BD4179F,11H,,ROBU,PELTON,489,2015-04-06,WSH,2017-09-03 11:31:38,A ,881.48,,2017-09-03 11:31:38,2017-09-03 11:31:39,0.00
2017,JCL14346.WSH,11,3DD.00773AB729,11W,93,WARMSR,WARMSR,464,2014-12-12,WSH,2017-05-18 01:03:32,A ,887.63,,2017-05-18 01:03:32,2017-05-18 12:30:23,0.48
2017,JCL-2015-111-WSH.XML,14,3DD.00773ADE27,11W,103,WARMSR,WARMSR,481,2015-04-21,WSH,2017-05-27 19:48:44,A ,767.74,,2017-05-27 19:48:44,2017-06-25 13:19:53,28.73
2017,JCL15073.WST,5,3DD.00773ABB79,11W,124,WARMSR,WARMSR,464,2015-03-14,WSH,2017-05-28 00:01:02,A ,805.90,,2017-05-28 00:01:02,2017-05-30 16:38:14,2.69
2017,JCL-2014-329-WSH.XML,117,3DD.00773B03E7,11W,83,WARMSR,WARMSR,481,2014-11-25,WSH,2017-05-29 12:18:03,A ,916.03,,2017-05-29 12:18:03,2017-05-30 16:07:02,1.16
2017,JCL-2015-092-WSH.XML,28,3DD.00773AECCA,11W,125,WARMSR,WARMSR,464,2015-04-02,WSH,2017-06-01 19:41:41,A ,791.29,,2017-06-01 19:41:41,2017-06-01 19:41:41,0.00
2017,JCL14337.WSH,16,3DD.00773BC60B,11W,95,WARMSR,WARMSR,464,2014-12-03,WSH,2017-06-08 22:46:01,A ,918.40,,2017-06-08 22:46:01,2017-08-31 02:28:27,83.15
2017,JCL-2014-329-WSH.XML,117,3DD.00773B27EC,11W,92,WARMSR,WARMSR,481,2014-11-25,WSH,2017-06-11 18:26:30,A ,929.29,,2017-06-11 18:26:30,2017-06-11 18:26:30,0.00
2017,JCL15302.WSH,59,3DD.0077877396,11W,91,WARMSR,WARMSR,464,2015-10-29,WSH,2017-07-07 21:15:57,A ,617.35,,2017-07-07 21:15:57,2017-09-03 12:40:00,57.64
2017,WSF16126.WSH,9,3DD.0077877793,11W,125,WARMSR,WARMSR,463,2016-05-05,WSH,2017-10-19 03:18:27,A ,531.65,,2017-10-19 03:18:27,2017-10-19 03:18:28,0.00
2017,JCL15302.WSH,59,3DD.0077876D43,11W,95,WARMSR,WARMSR,464,2015-10-29,WSH,2017-10-21 03:17:15,A ,722.61,,2017-10-21 03:17:15,2017-10-22 11:14:10,1.33
2017,WSF16132.WSH,17,3DD.00778809D9,11W,125,WARMSR,WARMSR,464,2016-05-11,WSH,2017-10-23 13:53:57,A ,530.08,,2017-10-23 13:53:57,2017-12-19 18:41:16,57.20
2017,JAR14027.WS2,2678,3DD.0077471F22,11H,,WSPH,WSPH,479,2014-04-03,WSH,2017-05-21 13:04:32,A ,1144.00,,2017-05-21 13:04:32,2017-05-21 13:34:37,0.02
2017,JAR15041.WS1,1850,384.3B23B01531,11H,,WSPH,WSPH,479,2015-03-30,WSH,2017-05-26 01:45:38,A ,787.70,,2017-05-26 01:45:38,2017-05-26 01:45:39,0.00
2017,JAR15042.WS5,3291,384.3B23B2377F,11H,,WSPH,WSPH,479,2015-03-31,WSH,2017-05-26 04:16:41,A ,786.80,,2017-05-26 04:16:41,2017-05-26 04:16:42,0.00
2017,JAR15041.WS1,1850,384.3B23B08004,11H,,WSPH,WSPH,479,2015-03-30,WSH,2017-05-29 05:21:26,A ,790.85,,2017-05-29 05:21:26,2017-05-30 14:16:38,1.37
2017,JAR15042.WS4,2090,384.3B23A48709,11H,,WSPH,WSPH,479,2015-03-31,WSH,2017-06-02 16:07:55,A ,794.30,,2017-06-02 16:07:55,2017-06-02 16:07:56,0.00
