Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2017,HRP15307.RBT,4991,3DD.007788EE32,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-05-14 01:17:13,A ,404.72,,2017-05-14 01:17:13,2017-05-17 16:05:20,3.62
2017,HRP15308.RBT,5009,3DD.0077804663,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-22 08:06:21,A ,402.00,,2017-05-22 08:06:21,2017-05-22 08:40:37,0.02
2017,DBR14342.CL2.DART2,575,3DD.003BD41574,11H,,ROBU,PELTON,489,2015-04-15,DSF,2017-05-22 15:07:17,A ,768.63,,2017-05-22 15:07:17,2017-05-22 15:07:31,0.00
2017,DBR14342.CL2.DART2,575,3DD.003BD4157A,11H,,ROBU,PELTON,489,2015-04-15,DSF,2017-05-24 07:08:18,A ,770.30,,2017-05-24 07:08:18,2017-05-24 07:08:18,0.00
2017,HRP15308.RBT,5009,3DD.0077803523,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-26 06:43:33,A ,405.95,,2017-05-26 06:43:33,2017-05-30 12:13:47,4.23
2017,HRP15307.RBT,4991,3DD.0077883B57,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-05-26 13:37:06,A ,417.23,,2017-05-26 13:37:06,2017-05-26 13:37:06,0.00
2017,HRP15308.RBT,5009,3DD.00778EDFAF,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-27 04:27:09,A ,406.85,,2017-05-27 04:27:09,2017-05-27 04:27:09,0.00
2017,HRP15308.RBT,5009,3DD.007789470D,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-28 08:53:33,A ,408.04,,2017-05-28 08:53:33,2017-05-28 09:55:40,0.04
2017,HRP15308.RBT,5009,3DD.007780880A,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-29 04:02:26,A ,408.84,,2017-05-29 04:02:26,2017-05-29 04:02:26,0.00
2017,HRP15308.RBT,5009,3DD.007781231C,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-30 02:26:59,A ,409.77,,2017-05-30 02:26:59,2017-05-30 06:37:42,0.17
2017,HRP15308.RBT,5009,3DD.00778E8EB8,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-30 07:44:45,A ,409.99,,2017-05-30 07:44:45,2017-05-30 07:44:45,0.00
2017,HRP15308.RBT,5009,3DD.0077806DE6,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-30 09:09:32,A ,410.05,,2017-05-30 09:09:32,2017-05-30 09:30:43,0.01
2017,HRP15307.RBT,4991,3DD.007787402E,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-05-30 10:58:16,A ,421.12,,2017-05-30 10:58:16,2017-05-30 10:58:16,0.00
2017,HRP15308.RBT,5009,3DD.007780531D,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-31 05:29:57,A ,410.90,,2017-05-31 05:29:57,2017-05-31 05:29:57,0.00
2017,HRP15308.RBT,5009,3DD.00778EF05B,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-05-31 05:58:50,A ,410.92,,2017-05-31 05:58:50,2017-05-31 05:58:50,0.00
2017,HRP15308.RBT,5009,3DD.0077875CDE,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-06-05 10:11:18,A ,416.09,,2017-06-05 10:11:18,2017-06-05 10:11:18,0.00
2017,HRP15308.RBT,5009,3DD.0077882BD6,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-06-18 03:49:09,A ,428.83,,2017-06-18 03:49:09,2017-06-18 03:49:09,0.00
2017,DBR14342.CL1.DART3,83,3DD.003BD41449,11H,,ROBU,PELTON,489,2015-04-08,DSF,2017-06-18 20:40:24,A ,802.86,,2017-06-18 20:40:24,2017-06-18 20:40:24,0.00
2017,HRP15307.RBT,4991,3DD.0077888217,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-06-25 07:34:45,A ,446.98,,2017-06-25 07:34:45,2017-06-25 07:35:36,0.00
2017,HRP15308.RBT,5009,3DD.007788ECED,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-06-26 19:43:22,A ,437.49,,2017-06-26 19:43:22,2017-06-26 19:51:51,0.01
2017,HRP-2016-300-RBT.XML,4964,3DD.007799B350,11H,,ROBU,PELTON,489,2017-04-12,DSF,2017-07-04 20:56:20,A ,83.50,,2017-07-04 20:56:20,2017-07-04 21:05:01,0.01
2017,HRP15308.RBT,5009,3DD.007780DB82,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-07-05 20:20:45,A ,446.51,,2017-07-05 20:20:45,2017-07-05 20:20:45,0.00
2017,HRP15307.RBT,4991,3DD.007788F1C1,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-07-06 18:21:09,A ,458.43,,2017-07-06 18:21:09,2017-07-06 18:27:51,0.00
2017,HRP-2016-300-RBT.XML,4964,3DD.00779A098B,11H,,ROBU,PELTON,489,2017-04-12,DSF,2017-07-07 13:22:51,A ,86.18,,2017-07-07 13:22:51,2017-07-07 14:35:43,0.05
2017,HRP15308.RBT,5009,3DD.00778E967E,11H,,ROBU,PELTON,489,2016-04-15,DSF,2017-07-08 21:10:25,A ,449.55,,2017-07-08 21:10:25,2017-07-09 01:07:04,0.16
2017,HRP15307.RBT,4991,3DD.0077874B38,11H,,ROBU,PELTON,489,2016-04-04,DSF,2017-07-18 09:29:39,A ,470.06,,2017-07-18 09:29:39,2017-07-18 09:36:51,0.01
2017,JCL-2015-111-WSH.XML,14,3DD.00773ADE27,11W,103,WARMSR,WARMSR,481,2015-04-21,DSF,2017-05-22 19:15:47,A ,762.72,,2017-05-22 19:15:47,2017-05-22 19:15:47,0.00
2017,JCL15073.WST,5,3DD.00773ABB79,11W,124,WARMSR,WARMSR,464,2015-03-14,DSF,2017-05-23 06:36:51,A ,801.17,,2017-05-23 06:36:51,2017-05-23 06:36:51,0.00
