date,site,sample,cs spl
5/21/2019,PT,2,2.370127
5/21/2019,PT,3,2.102717
6/4/2019,PT,1,0
6/4/2019,PT,2,0
6/4/2019,PT,3,2.530259
6/18/2019,PT,1,1.688452
6/18/2019,PT,2,1.837326
6/18/2019,PT,3,3.156138
7/2/2019,PT,1,2.620608
7/2/2019,PT,2,0.64781
7/2/2019,PT,3,4.422409
7/16/2019,PT,1,0.676753
7/16/2019,PT,2,0
7/16/2019,PT,3,1.691083
7/30/2019,PT,1,0
7/30/2019,PT,2,0
7/30/2019,PT,3,0
8/13/2019,PT,1,0
8/13/2019,PT,2,0
8/13/2019,PT,3,0
8/26/2019,PT,1,1
8/26/2019,PT,2,1
8/26/2019,PT,3,0
9/24/2019,PT,1,0
9/24/2019,PT,2,0
9/24/2019,PT,3,0
10/22/2019,PT,1,0
10/22/2019,PT,2,0
10/22/2019,PT,3,0
3/6/2020,PT,1,0
3/6/2020,PT,2,0
3/6/2020,PT,3,0
3/17/2020,PT,1,1
3/17/2020,PT,2,1
3/17/2020,PT,3,0
3/31/2020,PT,1,0
3/31/2020,PT,2,0
3/31/2020,PT,3,0
4/14/2020,PT,1,0
4/14/2020,PT,2,0
4/14/2020,PT,3,2
4/29/2020,PT,1,0
4/29/2020,PT,2,0
4/29/2020,PT,3,2
5/12/2020,PT,1,0
5/12/2020,PT,2,1
5/12/2020,PT,3,0
5/26/2020,PT,1,2
5/26/2020,PT,2,6
5/26/2020,PT,3,2
6/9/2020,PT,1,2
6/9/2020,PT,2,3
6/23/2020,PT,1,2
6/23/2020,PT,2,2
6/23/2020,PT,3,3
7/7/2020,PT,1,NA
7/7/2020,PT,2,NA
7/7/2020,PT,3,NA
7/11/2020,PT,1,NA
7/11/2020,PT,2,NA
7/11/2020,PT,3,NA
7/21/2020,PT,1,0
7/21/2020,PT,2,0
7/21/2020,PT,3,1
8/9/2020,PT,1,0
8/9/2020,PT,2,0
8/9/2020,PT,3,0
8/19/2020,PT,1,0
8/19/2020,PT,2,0
8/19/2020,PT,3,0
9/2/2020,PT,1,0
9/2/2020,PT,2,0
9/2/2020,PT,3,0
9/16/2020,PT,1,0
9/16/2020,PT,2,0
9/29/2020,PT,1,0
9/29/2020,PT,2,0
10/13/2020,PT,1,0
10/13/2020,PT,2,0
10/27/2020,PT,1,0
10/27/2020,PT,2,0
3/1/2021,PT,1,0
3/1/2021,PT,2,0
3/1/2021,PT,3,0
3/30/2021,PT,1,1
3/30/2021,PT,2,0
3/30/2021,PT,3,0
4/11/2021,PT,1,0
4/11/2021,PT,2,1
4/11/2021,PT,3,0
4/27/2021,PT,1,1
4/27/2021,PT,2,1
4/27/2021,PT,3,0
5/11/2021,PT,1,0
5/11/2021,PT,2,0
5/11/2021,PT,3,0
5/25/2021,PT,1,1
5/25/2021,PT,2,3
5/25/2021,PT,3,1
6/8/2021,PT,1,1
6/8/2021,PT,2,1
6/8/2021,PT,3,0
6/22/2021,PT,1,0
6/22/2021,PT,2,0
6/22/2021,PT,3,1
7/6/2021,PT,1,0
7/6/2021,PT,2,1
7/6/2021,PT,3,0
7/20/2021,PT,1,2
7/20/2021,PT,2,0
7/20/2021,PT,3,1
8/3/2021,PT,1,4
8/3/2021,PT,2,2
8/3/2021,PT,3,1
8/16/2021,PT,1,0
8/16/2021,PT,2,2
8/16/2021,PT,3,2
9/13/2021,PT,1,1
9/13/2021,PT,2,0
9/13/2021,PT,2,0
9/28/2021,PT,1,0
9/28/2021,PT,2,2
9/28/2021,PT,3,4
10/12/2021,PT,1,1
10/12/2021,PT,2,1
10/12/2021,PT,3,1
10/26/2021,PT,1,3
10/26/2021,PT,2,0
10/26/2021,PT,3,1
3/8/2022,PT,1,0
3/8/2022,PT,2,0
3/8/2022,PT,3,0
3/22/2022,PT,1,0
3/22/2022,PT,2,0
3/22/2022,PT,3,0
4/5/2022,PT,1,4
4/5/2022,PT,2,4
4/5/2022,PT,3,4
4/19/2022,PT,1,1
4/19/2022,PT,2,1
4/19/2022,PT,3,4
5/3/2022,PT,1,0
5/3/2022,PT,2,1
5/3/2022,PT,3,2
5/16/2022,PT,1,0
5/16/2022,PT,2,0
5/16/2022,PT,3,1
5/31/2022,PT,1,0
5/31/2022,PT,2,3
5/31/2022,PT,3,0
6/14/2022,PT,1,1
6/14/2022,PT,2,1
6/19/2022,PT,3,1
6/28/2022,PT,1,0
6/28/2022,PT,2,1
6/28/2022,PT,3,1
7/12/2022,PT,1,5
7/12/2022,PT,2,3
7/12/2022,PT,3,1
7/26/2022,PT,1,8
7/26/2022,PT,2,6
7/26/2022,PT,3,5
8/8/2022,PT,1,1
8/8/2022,PT,2,3
8/8/2022,PT,3,1
8/22/2022,PT,1,4
8/22/2022,PT,2,0
8/22/2022,PT,3,0
9/7/2022,PT,1,2
9/7/2022,PT,2,2
9/7/2022,PT,3,2
9/20/2022,PT,1,2
9/20/2022,PT,2,8
9/20/2022,PT,3,0
10/4/2022,PT,1,6
10/4/2022,PT,2,2
10/4/2022,PT,3,7
10/18/2022,PT,1,1
10/18/2022,PT,2,1
10/18/2022,PT,3,1
3/7/2023,PT,1,0
3/7/2023,PT,2,0
3/7/2023,PT,3,0
3/21/2023,PT,1,2
3/21/2023,PT,2,9.1
3/21/2023,PT,3,34.65
4/4/2023,PT,1,18.33
4/4/2023,PT,2,68.53
4/4/2023,PT,3,11.3
4/19/2023,PT,1,0
4/19/2023,PT,2,7.25
4/19/2023,PT,3,11.78
5/2/2023,PT,1,8.97
5/2/2023,PT,2,5
5/2/2023,PT,3,5
5/16/2023,PT,1,37.7
5/16/2023,PT,2,22.74
5/16/2023,PT,3,30.2
5/30/2023,PT,1,0.2
5/30/2023,PT,2,0
5/30/2023,PT,3,0.42
6/13/2023,PT,1,1.63
6/13/2023,PT,2,2.34
6/13/2023,PT,3,15.29
6/27/2023,PT,1,7.58
6/27/2023,PT,2,3.56
6/27/2023,PT,3,7.55
7/11/2023,PT,1,12.56
7/11/2023,PT,2,4.66
7/11/2023,PT,3,9.3
7/25/2023,PT,1,9.1
7/25/2023,PT,2,8.9
7/25/2023,PT,3,16.19
8/8/2023,PT,1,20.04
8/8/2023,PT,2,13.34
8/8/2023,PT,3,11.55
8/21/2023,PT,1,8.61
8/21/2023,PT,2,5.68
8/21/2023,PT,3,7.81
9/19/2023,PT,1,4.84
9/19/2023,PT,2,0.5
9/19/2023,PT,3,0.62
10/3/2023,PT,1,0.56
10/3/2023,PT,2,2.05
10/3/2023,PT,3,2.54
10/17/2023,PT,1,1.48
10/17/2023,PT,2,3.82
10/17/2023,PT,3,2.17
10/31/2023,PT,1,0.58
10/31/2023,PT,2,0.73
10/31/2023,PT,3,0.87
3/26/2024,PT,1,0
3/26/2024,PT,2,0.5
3/26/2024,PT,3,0
4/9/2024,PT,1,1.42
4/9/2024,PT,2,0.1
4/9/2024,PT,3,0.2
