date,site,rep,spores_l,water_year
2018-08-20,PT,3,1.5,2018
2018-09-05,PT,1,0.5,2018
2018-09-05,PT,2,0,2018
2018-09-05,PT,3,0,2018
2018-09-18,PT,1,2.3,2018
2018-09-18,PT,2,0.5,2018
2018-09-18,PT,3,0,2018
2018-10-02,PT,1,0.9,2019
2018-10-02,PT,2,1.4,2019
2018-10-02,PT,3,0.6,2019
2018-10-17,PT,1,2.4,2019
2018-10-17,PT,2,0,2019
2018-10-17,PT,3,5.4,2019
2018-10-30,PT,1,0,2019
2018-10-30,PT,2,3.5,2019
2018-10-30,PT,3,1,2019
2018-12-31,PT,1,0,2019
2018-12-31,PT,2,0,2019
2018-12-31,PT,3,0,2019
2019-03-12,PT,1,0,2019
2019-03-12,PT,2,0,2019
2019-03-12,PT,3,0,2019
2019-03-26,PT,1,0.675619,2019
2019-03-26,PT,2,0.350378,2019
2019-03-26,PT,3,0,2019
2019-04-09,PT,1,0,2019
2019-04-09,PT,2,0,2019
2019-04-09,PT,3,0,2019
2019-04-23,PT,1,1.871471,2019
2019-04-23,PT,2,0,2019
2019-04-23,PT,3,0,2019
2019-05-07,PT,1,5.019902,2019
2019-05-07,PT,2,0.183291,2019
2019-05-07,PT,3,1.163028,2019
2019-05-21,PT,1,0,2019
2019-05-21,PT,2,2.370127,2019
2019-05-21,PT,3,2.102717,2019
2019-06-04,PT,1,0,2019
2019-06-04,PT,2,0,2019
2019-06-04,PT,3,2.530259,2019
2019-06-18,PT,1,1.688452,2019
2019-06-18,PT,2,1.837326,2019
2019-06-18,PT,3,3.156138,2019
2019-07-02,PT,1,2.620608,2019
2019-07-02,PT,2,0.64781,2019
2019-07-02,PT,3,4.422409,2019
2019-07-16,PT,1,0.676753,2019
2019-07-16,PT,2,0,2019
2019-07-16,PT,3,1.691083,2019
2019-07-30,PT,1,0,2019
2019-07-30,PT,2,0,2019
2019-07-30,PT,3,0,2019
2019-08-13,PT,1,0,2019
2019-08-13,PT,2,0,2019
2019-08-13,PT,3,0,2019
2019-08-26,PT,1,1,2019
2019-08-26,PT,2,1,2019
2019-08-26,PT,3,0,2019
2019-09-24,PT,1,0,2019
2019-09-24,PT,2,0,2019
2019-09-24,PT,3,0,2019
2019-10-22,PT,1,0,2020
2019-10-22,PT,2,0,2020
2019-10-22,PT,3,0,2020
2020-03-06,PT,1,0,2020
2020-03-06,PT,2,0,2020
2020-03-06,PT,3,0,2020
2020-03-17,PT,1,1,2020
2020-03-17,PT,2,1,2020
2020-03-17,PT,3,0,2020
2020-03-31,PT,1,0,2020
2020-03-31,PT,2,0,2020
2020-03-31,PT,3,0,2020
2020-04-14,PT,1,0,2020
2020-04-14,PT,2,0,2020
2020-04-14,PT,3,2,2020
2020-04-29,PT,1,0,2020
2020-04-29,PT,2,0,2020
2020-04-29,PT,3,2,2020
2020-05-12,PT,1,0,2020
2020-05-12,PT,2,1,2020
2020-05-12,PT,3,0,2020
2020-05-26,PT,1,2,2020
2020-05-26,PT,2,6,2020
2020-05-26,PT,3,2,2020
2020-06-09,PT,1,2,2020
2020-06-09,PT,2,3,2020
2020-06-23,PT,1,2,2020
2020-06-23,PT,2,2,2020
2020-06-23,PT,3,3,2020
2020-07-07,PT,1,NA,2020
2020-07-07,PT,2,NA,2020
2020-07-07,PT,3,NA,2020
2020-07-11,PT,1,NA,2020
2020-07-11,PT,2,NA,2020
2020-07-11,PT,3,NA,2020
2020-07-21,PT,1,0,2020
2020-07-21,PT,2,0,2020
2020-07-21,PT,3,1,2020
2020-08-09,PT,1,0,2020
2020-08-09,PT,2,0,2020
2020-08-09,PT,3,0,2020
2020-08-19,PT,1,0,2020
2020-08-19,PT,2,0,2020
2020-08-19,PT,3,0,2020
2020-09-02,PT,1,0,2020
2020-09-02,PT,2,0,2020
2020-09-02,PT,3,0,2020
2020-09-16,PT,1,0,2020
2020-09-16,PT,2,0,2020
2020-09-29,PT,1,0,2020
2020-09-29,PT,2,0,2020
2020-10-13,PT,1,0,2021
2020-10-13,PT,2,0,2021
2020-10-27,PT,1,0,2021
2020-10-27,PT,2,0,2021
2021-03-01,PT,1,0,2021
2021-03-01,PT,2,0,2021
2021-03-01,PT,3,0,2021
2021-03-30,PT,1,1,2021
2021-03-30,PT,2,0,2021
2021-03-30,PT,3,0,2021
2021-04-11,PT,1,0,2021
2021-04-11,PT,2,1,2021
2021-04-11,PT,3,0,2021
2021-04-27,PT,1,1,2021
2021-04-27,PT,2,1,2021
2021-04-27,PT,3,0,2021
2021-05-11,PT,1,0,2021
2021-05-11,PT,2,0,2021
2021-05-11,PT,3,0,2021
2021-05-25,PT,1,1,2021
2021-05-25,PT,2,3,2021
2021-05-25,PT,3,1,2021
2021-06-08,PT,1,1,2021
2021-06-08,PT,2,1,2021
2021-06-08,PT,3,0,2021
2021-06-22,PT,1,0,2021
2021-06-22,PT,2,0,2021
2021-06-22,PT,3,1,2021
2021-07-06,PT,1,0,2021
2021-07-06,PT,2,1,2021
2021-07-06,PT,3,0,2021
2021-07-20,PT,1,2,2021
2021-07-20,PT,2,0,2021
2021-07-20,PT,3,1,2021
2021-08-03,PT,1,4,2021
2021-08-03,PT,2,2,2021
2021-08-03,PT,3,1,2021
2021-08-16,PT,1,0,2021
2021-08-16,PT,2,2,2021
2021-08-16,PT,3,2,2021
2021-09-13,PT,1,1,2021
2021-09-13,PT,2,0,2021
2021-09-13,PT,2,0,2021
2021-09-28,PT,1,0,2021
2021-09-28,PT,2,2,2021
2021-09-28,PT,3,4,2021
2021-10-12,PT,1,1,2022
2021-10-12,PT,2,1,2022
2021-10-12,PT,3,1,2022
2021-10-26,PT,1,3,2022
2021-10-26,PT,2,0,2022
2021-10-26,PT,3,1,2022
2022-03-08,PT,1,0,2022
2022-03-08,PT,2,0,2022
2022-03-08,PT,3,0,2022
2022-03-22,PT,1,0,2022
2022-03-22,PT,2,0,2022
2022-03-22,PT,3,0,2022
2022-04-05,PT,1,4,2022
2022-04-05,PT,2,4,2022
2022-04-05,PT,3,4,2022
2022-04-19,PT,1,1,2022
2022-04-19,PT,2,1,2022
2022-04-19,PT,3,4,2022
2022-05-03,PT,1,0,2022
2022-05-03,PT,2,1,2022
2022-05-03,PT,3,2,2022
2022-05-16,PT,1,0,2022
2022-05-16,PT,2,0,2022
2022-05-16,PT,3,1,2022
2022-05-31,PT,1,0,2022
2022-05-31,PT,2,3,2022
2022-05-31,PT,3,0,2022
2022-06-14,PT,1,1,2022
2022-06-14,PT,2,1,2022
2022-06-19,PT,3,1,2022
2022-06-28,PT,1,0,2022
2022-06-28,PT,2,1,2022
2022-06-28,PT,3,1,2022
2022-07-12,PT,1,5,2022
2022-07-12,PT,2,3,2022
2022-07-12,PT,3,1,2022
2022-07-26,PT,1,8,2022
2022-07-26,PT,2,6,2022
2022-07-26,PT,3,5,2022
2022-08-08,PT,1,1,2022
2022-08-08,PT,2,3,2022
2022-08-08,PT,3,1,2022
2022-08-22,PT,1,4,2022
2022-08-22,PT,2,0,2022
2022-08-22,PT,3,0,2022
2022-09-07,PT,1,2,2022
2022-09-07,PT,2,2,2022
2022-09-07,PT,3,2,2022
2022-09-20,PT,1,2,2022
2022-09-20,PT,2,8,2022
2022-09-20,PT,3,0,2022
2022-10-04,PT,1,6,2023
2022-10-04,PT,2,2,2023
2022-10-04,PT,3,7,2023
2022-10-18,PT,1,1,2023
2022-10-18,PT,2,1,2023
2022-10-18,PT,3,1,2023
2023-03-07,PT,1,0,2023
2023-03-07,PT,2,0,2023
2023-03-07,PT,3,0,2023
2023-03-21,PT,1,2,2023
2023-03-21,PT,2,9.1,2023
2023-03-21,PT,3,34.65,2023
2023-04-04,PT,1,18.33,2023
2023-04-04,PT,2,68.53,2023
2023-04-04,PT,3,11.3,2023
2023-04-19,PT,1,0,2023
2023-04-19,PT,2,7.25,2023
2023-04-19,PT,3,11.78,2023
2023-05-02,PT,1,8.97,2023
2023-05-02,PT,2,5,2023
2023-05-02,PT,3,5,2023
2023-05-16,PT,1,37.7,2023
2023-05-16,PT,2,22.74,2023
2023-05-16,PT,3,30.2,2023
2023-05-30,PT,1,0.2,2023
2023-05-30,PT,2,0,2023
2023-05-30,PT,3,0.42,2023
2023-06-13,PT,1,1.63,2023
2023-06-13,PT,2,2.34,2023
2023-06-13,PT,3,15.29,2023
2023-06-27,PT,1,7.58,2023
2023-06-27,PT,2,3.56,2023
2023-06-27,PT,3,7.55,2023
2023-07-11,PT,1,12.56,2023
2023-07-11,PT,2,4.66,2023
