Year,Tag File,NFish,Tag ID,SpRRT,Length,Mark Site,Release Site,Total RKM,Release Date,Obs Site,Obs Time,Stage,Travel Days,NotFirst,Min Time,Max Time,Location Days
2022,WSF-2019-288-WSH.XML,139,3DD.0077514633,11W,86,WARMSR,WARMSR,482,2019-10-15,WSH,2022-05-15 03:41:37,A ,942.63,,2022-05-15 03:41:37,2022-05-18 17:35:39,3.58
2022,WSF-2019-309-WSH.XML,110,3DD.00774FDE56,11W,90,WARMSR,WARMSR,482,2019-11-05,WSH,2022-05-22 04:01:25,A ,928.68,,2022-05-22 04:01:25,2022-05-22 04:07:26,0.00
2022,WSF-2019-291-WSH.XML,109,3DD.007751F322,11W,86,WARMSR,WARMSR,482,2019-10-18,WSH,2022-05-23 18:44:31,A ,948.31,,2022-05-23 18:44:31,2022-05-23 18:48:03,0.00
2022,WSF-2019-305-BVR.XML,5,3DD.0077536C29,11W,95,WARMSR,WARMSR,464,2019-11-01,WSH,2022-05-24 04:36:15,A ,934.65,,2022-05-24 04:36:15,2022-05-24 04:54:04,0.01
2022,WSF-2019-312-WSH.XML,79,3DD.0077ADBCA0,11W,96,WARMSR,WARMSR,482,2019-11-08,WSH,2022-05-27 00:11:30,A ,930.46,,2022-05-27 00:11:30,2022-05-27 05:31:38,0.22
2022,WSF-2019-281-MKN.XML,13,3DD.0077522C5E,11W,80,WARMSR,WARMSR,791,2019-10-08,WSH,2022-05-31 16:32:29,A ,966.13,,2022-05-31 16:32:29,2022-06-03 05:27:59,2.54
2022,WSF-2019-311-MKN.XML,18,3DD.007750C83A,11W,77,WARMSR,WARMSR,791,2019-11-07,WSH,2022-05-31 17:56:20,A ,936.23,,2022-05-31 17:56:20,2022-05-31 18:49:23,0.04
2022,WSF-2019-311-WSH.XML,97,3DD.00778EEC65,11W,87,WARMSR,WARMSR,482,2019-11-07,WSH,2022-06-01 16:10:03,A ,937.05,,2022-06-01 16:10:03,2022-06-30 04:12:52,28.50
2022,WSF-2019-304-WSH.XML,117,3DD.00775220D3,11W,83,WARMSR,WARMSR,482,2019-10-31,WSH,2022-06-02 05:53:48,A ,944.80,,2022-06-02 05:53:48,2022-06-02 06:17:20,0.02
2022,WSF-2019-305-WSH.XML,131,3DD.007751716B,11W,103,WARMSR,WARMSR,482,2019-11-01,WSH,2022-06-02 14:36:17,A ,944.24,,2022-06-02 14:36:17,2022-06-11 11:49:01,8.88
